reclat,reclon
42.92415, -78.88493,
42.92407, -78.88494,
42.92400, -78.88495,
42.92391, -78.88496,
42.92382, -78.88497,
42.92371, -78.88499,
42.92360, -78.88500,
42.92349, -78.88502,
42.92337, -78.88503,
42.92326, -78.88505,
42.92314, -78.88506,
42.92308, -78.88507,
42.92291, -78.88509,
42.92280, -78.88511,
42.92268, -78.88512,
42.92259, -78.88514,
42.92252, -78.88515,
42.92243, -78.88516,
42.92237, -78.88517,
42.92232, -78.88518,
42.92227, -78.88518,
42.92225, -78.88518,
42.92222, -78.88519,
42.92220, -78.88519,
42.92211, -78.88512,
42.92211, -78.88505,
42.92211, -78.88498,
42.92211, -78.88488,
42.92211, -78.88478,
42.92212, -78.88466,
42.92212, -78.88453,
42.92212, -78.88439,
42.92212, -78.88424,
42.92212, -78.88409,
42.92213, -78.88393,
42.92213, -78.88377,
42.92213, -78.88361,
42.92213, -78.88345,
42.92214, -78.88327,
42.92214, -78.88313,
42.92214, -78.88296,
42.92214, -78.88279,
42.92214, -78.88262,
42.92215, -78.88246,
42.92215, -78.88230,
42.92215, -78.88214,
42.92215, -78.88200,
42.92216, -78.88187,
42.92216, -78.88176,
42.92216, -78.88168,
42.92216, -78.88163,
42.92216, -78.88159,
42.92216, -78.88155,
42.92216, -78.88152,
42.92216, -78.88149,
42.92207, -78.88144,
42.92201, -78.88144,
42.92195, -78.88145,
42.92186, -78.88146,
42.92176, -78.88148,
42.92164, -78.88149,
42.92153, -78.88151,
42.92143, -78.88152,
42.92132, -78.88153,
42.92122, -78.88155,
42.92116, -78.88155,
42.92113, -78.88156,
42.92108, -78.88156,
42.92103, -78.88157,
42.92095, -78.88160,
42.92088, -78.88164,
42.92080, -78.88171,
42.92072, -78.88180,
42.92064, -78.88188,
42.92056, -78.88196,
42.92048, -78.88206,
42.92041, -78.88212,
42.92032, -78.88216,
42.92022, -78.88215,
42.92014, -78.88211,
42.92008, -78.88206,
42.91996, -78.88201,
42.91986, -78.88193,
42.91977, -78.88187,
42.91969, -78.88184,
42.91954, -78.88179,
42.91945, -78.88180,
42.91934, -78.88181,
42.91923, -78.88182,
42.91912, -78.88183,
42.91900, -78.88184,
42.91888, -78.88185,
42.91876, -78.88186,
42.91863, -78.88187,
42.91850, -78.88188,
42.91837, -78.88189,
42.91825, -78.88190,
42.91813, -78.88191,
42.91801, -78.88192,
42.91790, -78.88193,
42.91778, -78.88194,
42.91767, -78.88194,
42.91755, -78.88195,
42.91744, -78.88196,
42.91733, -78.88197,
42.91723, -78.88198,
42.91713, -78.88199,
42.91706, -78.88199,
42.91699, -78.88200,
42.91693, -78.88201,
42.91683, -78.88208,
42.91679, -78.88208,
42.91676, -78.88208,
42.91672, -78.88208,
42.91669, -78.88208,
42.91665, -78.88209,
42.91660, -78.88209,
42.91654, -78.88210,
42.91649, -78.88211,
42.91645, -78.88213,
42.91642, -78.88214,
42.91639, -78.88214,
42.91640, -78.88217,
42.91642, -78.88214,
42.91643, -78.88217,
42.91641, -78.88214,
42.91638, -78.88213,
42.91635, -78.88212,
42.91628, -78.88211,
42.91621, -78.88206,
42.91614, -78.88207,
42.91606, -78.88207,
42.91598, -78.88208,
42.91586, -78.88213,
42.91582, -78.88215,
42.91577, -78.88216,
42.91573, -78.88218,
42.91568, -78.88221,
42.91562, -78.88225,
42.91556, -78.88231,
42.91547, -78.88232,
42.91544, -78.88230,
42.91528, -78.88218,
42.91523, -78.88217,
42.91515, -78.88215,
42.91509, -78.88211,
42.91503, -78.88211,
42.91496, -78.88211,
42.91491, -78.88211,
42.91487, -78.88211,
42.91483, -78.88210,
42.91480, -78.88210,
42.91478, -78.88210,
42.91479, -78.88210,
42.91478, -78.88219,
42.91480, -78.88217,
42.91481, -78.88214,
42.91482, -78.88210,
42.91482, -78.88207,
42.91481, -78.88205,
42.91481, -78.88202,
42.91480, -78.88199,
42.91480, -78.88195,
42.91480, -78.88192,
42.91482, -78.88191,
42.91481, -78.88189,
42.91482, -78.88187,
42.91483, -78.88184,
42.91485, -78.88186,
42.91487, -78.88188,
42.91487, -78.88185,
42.91485, -78.88188,
42.91487, -78.88192,
42.91487, -78.88194,
42.91488, -78.88197,
42.91487, -78.88188,
42.91485, -78.88188,
42.91485, -78.88191,
42.91485, -78.88194,
42.91483, -78.88194,
42.91481, -78.88194,
42.91479, -78.88192,
42.91478, -78.88189,
42.91478, -78.88186,
42.91479, -78.88183,
42.91481, -78.88183,
42.91482, -78.88180,
42.91480, -78.88179,
42.91477, -78.88177,
42.91474, -78.88176,
42.91473, -78.88178,
42.91471, -78.88178,
42.91482, -78.88205,
42.91485, -78.88207,
42.91487, -78.88208,
42.91497, -78.88210,
42.91499, -78.88211,
42.91487, -78.88206,
42.91484, -78.88205,
42.91482, -78.88204,
42.91483, -78.88206,
42.91487, -78.88206,
42.91485, -78.88205,
42.91487, -78.88206,
42.91488, -78.88209,
42.91484, -78.88207,
42.91482, -78.88206,
42.91487, -78.88206,
42.91484, -78.88205,
42.91486, -78.88206,
42.91480, -78.88194,
42.91487, -78.88200,
42.91492, -78.88205,
42.91484, -78.88205,
42.91477, -78.88196,
42.91484, -78.88204,
42.91486, -78.88199,
42.91483, -78.88198,
42.91487, -78.88203,
42.91488, -78.88205,
42.91485, -78.88205,
42.91477, -78.88196,
42.91480, -78.88197,
42.91488, -78.88205,
42.91485, -78.88205,
42.91482, -78.88200,
42.91484, -78.88203,
42.91496, -78.88209,
42.91500, -78.88211,
42.91483, -78.88199,
42.91478, -78.88196,
42.91484, -78.88204,
42.91478, -78.88197,
42.91479, -78.88193,
42.91484, -78.88204,
42.91477, -78.88196,
42.91488, -78.88205,
42.91485, -78.88205,
42.91489, -78.88206,
42.91486, -78.88205,
42.91484, -78.88205,
42.91488, -78.88207,
42.91490, -78.88208,
42.91489, -78.88206,
42.91485, -78.88205,
42.91487, -78.88206,
42.91484, -78.88205,
42.91487, -78.88207,
42.91494, -78.88210,
42.91496, -78.88211,
42.91483, -78.88205,
42.91477, -78.88201,
42.91476, -78.88195,
42.91482, -78.88198,
42.91493, -78.88207,
42.91496, -78.88210,
42.91498, -78.88212,
42.91477, -78.88195,
42.91483, -78.88204,
42.91487, -78.88207,
42.91484, -78.88205,
42.91487, -78.88206,
42.91491, -78.88208,
42.91493, -78.88210,
42.91483, -78.88206,
42.91488, -78.88206,
42.91489, -78.88210,
42.91492, -78.88214,
42.91496, -78.88215,
42.91498, -78.88213,
42.91489, -78.88211,
42.91483, -78.88207,
42.91480, -78.88194,
42.91477, -78.88194,
42.91483, -78.88204,
42.91481, -78.88197,
42.91483, -78.88199,
42.91477, -78.88196,
42.91484, -78.88204,
42.91479, -78.88198,
42.91484, -78.88204,
42.91478, -78.88199,
42.91480, -78.88195,
42.91486, -78.88196,
42.91478, -78.88196,
42.91479, -78.88195,
42.91483, -78.88197,
42.91485, -78.88199,
42.91487, -78.88201,
42.91481, -78.88195,
42.91484, -78.88204,
42.91481, -78.88197,
42.91480, -78.88195,
42.91478, -78.88198,
42.91484, -78.88205,
42.91492, -78.88211,
42.91501, -78.88211,
42.91488, -78.88206,
42.91478, -78.88197,
42.91476, -78.88195,
42.91487, -78.88204,
42.91489, -78.88206,
42.91480, -78.88198,
42.91482, -78.88200,
42.91480, -78.88194,
42.91484, -78.88198,
42.91489, -78.88206,
42.91484, -78.88201,
42.91498, -78.88210,
42.91492, -78.88207,
42.91486, -78.88205,
42.91488, -78.88206,
42.91483, -78.88198,
42.91484, -78.88204,
42.91489, -78.88206,
42.91486, -78.88205,
42.91483, -78.88200,
42.91484, -78.88205,
42.91487, -78.88206,
42.91484, -78.88201,
42.91484, -78.88204,
42.91477, -78.88196,
42.91484, -78.88204,
42.91489, -78.88207,
42.91484, -78.88201,
42.91487, -78.88204,
42.91486, -78.88205,
42.91499, -78.88211,
42.91509, -78.88215,
42.91490, -78.88206,
42.91485, -78.88205,
42.91482, -78.88198,
42.91478, -78.88196,
42.91487, -78.88205,
42.91489, -78.88206,
42.91482, -78.88199,
42.91479, -78.88196,
42.91481, -78.88197,
42.91484, -78.88204,
42.91482, -78.88199,
42.91484, -78.88204,
42.91482, -78.88199,
42.91478, -78.88196,
