reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.8481022977073,42.9258862836686,0,0,40,190.537212371826,2020/10/11 12:16:07+00,,,,,,,,,,,,,,,,,,,,,
-78.8481364958723,42.9259038018462,0,0,41,190.96195602417,2020/10/11 12:16:08+00,,,,,,,,,,,,,,,,,,,,,
-78.8481691852946,42.925918889272,0,0,42,190.795513153076,2020/10/11 12:16:09+00,,,,,,,,,,,,,,,,,,,,,
-78.8481959235657,42.9259363655401,0,0,43,191.114238739014,2020/10/11 12:16:10+00,,,,,,,,,,,,,,,,,,,,,
-78.8482167106856,42.9259553505508,0,0,44,191.075420379639,2020/10/11 12:16:11+00,,,,,,,,,,,,,,,,,,,,,
-78.8482364081581,42.9259718209905,0,0,45,191.286052703857,2020/10/11 12:16:12+00,,,,,,,,,,,,,,,,,,,,,
-78.8482585363824,42.9259856092212,0,0,46,191.570720672607,2020/10/11 12:16:13+00,,,,,,,,,,,,,,,,,,,,,
-78.8482923992712,42.925996882881,0,0,47,191.897319793701,2020/10/11 12:16:14+00,,,,,,,,,,,,,,,,,,,,,
-78.8483272679884,42.9260123055828,0,0,48,191.953838348389,2020/10/11 12:16:15+00,,,,,,,,,,,,,,,,,,,,,
-78.8483612146963,42.9260247946185,0,0,49,191.898174285889,2020/10/11 12:16:16+00,,,,,,,,,,,,,,,,,,,,,
-78.8483930659283,42.9260398401347,0,0,50,191.68119430542,2020/10/11 12:16:17+00,,,,,,,,,,,,,,,,,,,,,
-78.8484201394756,42.9260571068553,0,0,51,191.769817352295,2020/10/11 12:16:18+00,,,,,,,,,,,,,,,,,,,,,
-78.8484548405547,42.9260693863434,0,0,52,191.815715789795,2020/10/11 12:16:19+00,,,,,,,,,,,,,,,,,,,,,
-78.8484886196245,42.9260825040219,0,0,53,191.697368621826,2020/10/11 12:16:20+00,,,,,,,,,,,,,,,,,,,,,
-78.848519129752,42.9260980524522,0,0,54,191.636211395264,2020/10/11 12:16:21+00,,,,,,,,,,,,,,,,,,,,,
-78.8485462871183,42.9261197196719,0,0,55,191.449687957764,2020/10/11 12:16:22+00,,,,,,,,,,,,,,,,,,,,,
-78.8485680800666,42.9261379084018,0,0,56,191.64506149292,2020/10/11 12:16:23+00,,,,,,,,,,,,,,,,,,,,,
-78.8485896215577,42.9261568095935,0,0,57,191.541118621826,2020/10/11 12:16:24+00,,,,,,,,,,,,,,,,,,,,,
-78.8486129232485,42.9261836735931,0,0,58,191.53470993042,2020/10/11 12:16:25+00,,,,,,,,,,,,,,,,,,,,,
-78.8486412540812,42.9262024071467,0,0,59,191.449443817139,2020/10/11 12:16:26+00,,,,,,,,,,,,,,,,,,,,,
-78.8486679085333,42.9262173269344,0,0,60,191.288494110107,2020/10/11 12:16:27+00,,,,,,,,,,,,,,,,,,,,,
-78.8486973290135,42.926228349137,0,0,61,191.137371063232,2020/10/11 12:16:28+00,,,,,,,,,,,,,,,,,,,,,
-78.8487244025607,42.9262456158576,0,0,62,191.16166305542,2020/10/11 12:16:29+00,,,,,,,,,,,,,,,,,,,,,
-78.8487551641453,42.9262683308152,0,0,63,190.988445281982,2020/10/11 12:16:30+00,,,,,,,,,,,,,,,,,,,,,
-78.848780645131,42.9262933088866,0,0,64,190.673686981201,2020/10/11 12:16:31+00,,,,,,,,,,,,,,,,,,,,,
-78.8488042820979,42.9263158142966,0,0,65,190.678691864014,2020/10/11 12:16:32+00,,,,,,,,,,,,,,,,,,,,,
-78.8488271646936,42.9263333324743,0,0,66,190.553325653076,2020/10/11 12:16:33+00,,,,,,,,,,,,,,,,,,,,,
-78.8488489576418,42.9263496352759,0,0,67,190.409832000732,2020/10/11 12:16:34+00,,,,,,,,,,,,,,,,,,,,,
-78.848870582952,42.9263639264208,0,0,68,190.256084442139,2020/10/11 12:16:35+00,,,,,,,,,,,,,,,,,,,,,
-78.848907630964,42.9263918800679,0,0,69,190.353252410889,2020/10/11 12:16:37+00,,,,,,,,,,,,,,,,,,,,,
-78.8489279151697,42.9264096077931,0,0,70,190.194744110107,2020/10/11 12:16:38+00,,,,,,,,,,,,,,,,,,,,,
-78.8489534799744,42.9264202109006,0,0,71,190.049785614014,2020/10/11 12:16:39+00,,,,,,,,,,,,,,,,,,,,,
-78.8489818946261,42.9264240665761,0,0,72,190.227703094482,2020/10/11 12:16:40+00,,,,,,,,,,,,,,,,,,,,,
-78.8490174338956,42.92642113291,0,0,73,190.218120574951,2020/10/11 12:16:41+00,,,,,,,,,,,,,,,,,,,,,
-78.849055487736,42.9264150560302,0,0,74,190.001689910889,2020/10/11 12:16:42+00,,,,,,,,,,,,,,,,,,,,,
-78.8490931224812,42.926406506489,0,0,75,189.989604949951,2020/10/11 12:16:43+00,,,,,,,,,,,,,,,,,,,,,
-78.8491289132078,42.9264032375467,0,0,76,190.501323699951,2020/10/11 12:16:44+00,,,,,,,,,,,,,,,,,,,,,
-78.8491644524772,42.9264049558369,0,0,77,190.682353973389,2020/10/11 12:16:45+00,,,,,,,,,,,,,,,,,,,,,
-78.849195716976,42.9264129186449,0,0,78,190.43558883667,2020/10/11 12:16:46+00,,,,,,,,,,,,,,,,,,,,,
-78.8492198568572,42.9264275450659,0,0,79,190.48197555542,2020/10/11 12:16:47+00,,,,,,,,,,,,,,,,,,,,,
-78.8492413983483,42.9264467396242,0,0,80,190.89750289917,2020/10/11 12:16:48+00,,,,,,,,,,,,,,,,,,,,,
-78.8492622692872,42.9264713824195,0,0,81,191.01273727417,2020/10/11 12:16:49+00,,,,,,,,,,,,,,,,,,,,,
-78.8492761832465,42.9264980368716,0,0,82,190.880290985107,2020/10/11 12:16:50+00,,,,,,,,,,,,,,,,,,,,,
-78.8492833916832,42.9265230568526,0,0,83,191.148418426514,2020/10/11 12:16:51+00,,,,,,,,,,,,,,,,,,,,,
-78.8492949587096,42.9265466100005,0,0,84,191.201152801514,2020/10/11 12:16:52+00,,,,,,,,,,,,,,,,,,,,,
-78.8493176736672,42.9265708756102,0,0,85,191.07035446167,2020/10/11 12:16:53+00,,,,,,,,,,,,,,,,,,,,,
-78.8493485190709,42.9265925009203,0,0,86,190.976055145264,2020/10/11 12:16:54+00,,,,,,,,,,,,,,,,,,,,,
-78.8493834716071,42.9266046546799,0,0,87,191.07035446167,2020/10/11 12:16:55+00,,,,,,,,,,,,,,,,,,,,,
-78.8494158257533,42.9266161797968,0,0,88,191.08304977417,2020/10/11 12:16:56+00,,,,,,,,,,,,,,,,,,,,,
-78.8494448271383,42.9266271181804,0,0,89,191.134685516357,2020/10/11 12:16:57+00,,,,,,,,,,,,,,,,,,,,,
-78.8494740799804,42.9266424989728,0,0,90,190.954570770264,2020/10/11 12:16:58+00,,,,,,,,,,,,,,,,,,,,,
-78.8495008182515,42.9266601847884,0,0,91,191.139446258545,2020/10/11 12:16:59+00,,,,,,,,,,,,,,,,,,,,,
-78.8495283108939,42.9266790859801,0,0,92,191.171306610107,2020/10/11 12:17:00+00,,,,,,,,,,,,,,,,,,,,,
-78.8495514449466,42.9266963107911,0,0,93,191.060039520264,2020/10/11 12:17:01+00,,,,,,,,,,,,,,,,,,,,,
-78.8495744951804,42.9267140804258,0,0,94,190.953594207764,2020/10/11 12:17:02+00,,,,,,,,,,,,,,,,,,,,,
-78.8496002276231,42.9267293773991,0,0,95,190.913738250732,2020/10/11 12:17:03+00,,,,,,,,,,,,,,,,,,,,,
-78.8496288937319,42.9267422436205,0,0,96,190.840129852295,2020/10/11 12:17:04+00,,,,,,,,,,,,,,,,,,,,,
-78.8496563863743,42.9267558642131,0,0,97,190.911052703857,2020/10/11 12:17:05+00,,,,,,,,,,,,,,,,,,,,,
-78.8496832922835,42.9267719993768,0,0,98,190.988872528076,2020/10/11 12:17:06+00,,,,,,,,,,,,,,,,,,,,,
-78.8497092761834,42.9267903138352,0,0,99,191.18363571167,2020/10/11 12:17:07+00,,,,,,,,,,,,,,,,,,,,,
-78.8497337513406,42.9268095083934,0,0,100,191.319316864014,2020/10/11 12:17:08+00,,,,,,,,,,,,,,,,,,,,,
-78.8497598190595,42.9268263979283,0,0,101,191.391216278076,2020/10/11 12:17:09+00,,,,,,,,,,,,,,,,,,,,,
-78.8497854676832,42.9268427426395,0,0,102,191.488933563232,2020/10/11 12:17:10+00,,,,,,,,,,,,,,,,,,,,,
